customer_id,gender,age,senior_citizen,partner,dependents,tenure,phone_service,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,support_tickets,late_payments,satisfaction_score,churn
CUST_000001,Male,70,1,Yes,No,35,Yes,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Mailed check,80.88,2941.53,0,0,5,1
CUST_000002,Female,60,1,Yes,Yes,44,Yes,No,No,Yes,No,No,No,No,One year,Yes,Electronic check,55.35,2573.63,2,2,3,1
CUST_000003,Female,30,0,Yes,No,35,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card,26.68,858.56,2,1,7,1
CUST_000004,Male,75,1,Yes,No,53,Yes,No,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer,140.61,7423.11,2,2,3,1
CUST_000005,Male,75,1,No,No,30,Yes,Fiber optic,No,,No,Yes,Yes,Yes,Month-to-month,No,Credit card,68.96,2075.85,3,1,4,0
CUST_000006,Female,20,0,No,No,66,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer,148.72,9841.24,2,0,3,0
CUST_000007,Male,19,0,Yes,Yes,49,Yes,No,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.36,4206.14,2,1,2,1
CUST_000008,Female,32,0,No,No,2,Yes,No,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card,33.54,0.0,0,1,7,1
CUST_000009,Male,64,1,No,Yes,13,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card,83.27,886.23,3,0,10,1
CUST_000010,Male,52,0,Yes,No,21,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card,102.52,2028.3,1,0,2,0
CUST_000011,Female,47,0,Yes,Yes,14,Yes,DSL,No,,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,111.0,1746.38,3,5,9,0
CUST_000012,Female,42,0,No,No,58,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card,49.46,2791.43,1,0,7,0
CUST_000013,Female,45,0,No,No,1,Yes,DSL,Yes,No,No,,No,No,Month-to-month,Yes,Credit card,133.95,202.89,2,2,5,1
CUST_000014,Female,54,0,Yes,No,58,Yes,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Credit card,65.76,3815.21,1,0,6,0
CUST_000015,Female,21,0,No,Yes,27,Yes,No,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,88.81,2185.46,0,0,5,0
CUST_000016,Female,52,0,No,No,42,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Bank transfer,35.09,1250.16,3,3,2,1
CUST_000017,Female,30,0,No,No,14,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,51.48,750.72,4,1,6,1
CUST_000018,Male,63,1,Yes,No,4,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,88.86,436.85,2,2,7,1
CUST_000019,Female,29,0,No,Yes,71,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,72.17,5112.62,2,1,1,1
CUST_000020,Male,22,0,Yes,No,42,Yes,No,No,No,Yes,No,No,No,One year,No,Electronic check,94.99,4051.15,4,1,3,0
CUST_000021,Female,43,0,Yes,No,38,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card,136.16,5248.24,3,2,10,1
CUST_000022,Male,43,0,No,No,60,No,Fiber optic,Yes,No,No,Yes,Yes,No,One year,Yes,Credit card,103.59,6007.2,1,1,9,0
CUST_000023,Male,48,0,Yes,No,22,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer,142.89,3335.57,4,1,1,1
CUST_000024,Female,67,1,Yes,No,1,Yes,Fiber optic,No,No,No,,No,No,One year,Yes,Mailed check,131.54,88.6,5,1,5,1
CUST_000025,Female,58,0,Yes,No,32,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,22.81,792.82,3,1,8,1
CUST_000026,Female,39,0,Yes,Yes,15,No,DSL,Yes,No,No,,Yes,Yes,Month-to-month,No,Mailed check,74.83,1158.7,1,1,8,1
CUST_000027,Male,60,1,No,No,2,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.99,0.0,5,1,6,1
CUST_000028,Female,47,0,Yes,No,61,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,No,Electronic check,106.67,6466.45,3,0,2,1
CUST_000029,Female,30,0,No,No,57,Yes,DSL,Yes,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer,78.44,4524.08,1,2,2,1
CUST_000030,Male,19,0,No,No,17,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,45.47,751.79,3,2,1,1
CUST_000031,Male,18,0,Yes,Yes,67,Yes,Fiber optic,,No,Yes,No,No,Yes,One year,Yes,Credit card,82.86,5735.92,1,2,2,1
